mobile_model_name,cnt
F3111,5
F3112,2
F3113,1
F3115,2
F320L,2
F3211,4
F3212,2
F3213,2
F3215,2
F3216,2
F3311,4
F3313,2
F350L,2
F400S,2
F460L,2
F5,2
F5002,2
F510L,2
F5121,7
F5122,2
F5321,2
F5502,2
F6,3
F6002,2
F600L,1
F670S,2
F700K,1
F700S,2
F720L,2
F740L,2
F750K,2
F800S,1
F8131,3
F8132,3
F820L,3
F8331,5
F8332,3
FIG-LA1,2
FIG-LX1,19
FIG-LX2,1
FIG-LX3,2
FL02,2
FLA-AL10,1
FLA-LX1,1
FLA-LX2,2
FLA-LX3,1
FNE-AN00,113
FP3,2
FP4,1
FRD-DL00,2
FRD-L04,2
FRD-L09,4
FRL-L23,1
FS505,2
FS8001,2
FS8002,2
FUN 5,1
FUN VALUE,2
Fever,2
Fire HD 10 Plus,5
Firefox for Android,3
Fly3,2
Fly_V551,2
Fog,2
Fonepad 7,2
Freddy,2
G,2
G1,2
G10,29
G11,14
G2,3
G20,16
G21,7
G301,1
G310,1
G3112,1
G3121,4
G3212,3
G3221,10
G3223,2
G3226,1
G3311,7
G3313,2
G3412,2
G3423,2
G40C,5
G5,3
G50,16
G50 Mega,4
G50 Plus,5
G501,1
G51 Plus,3
G55,2
G6,2
G60,6
G61,3
G7-L11,2
G700,1
G71,1
G720T,2
G730-T00,2
G750-T20,1
G8,13
G8 Power,9
G80,1
G8141,8
G8142,2
G8232,2
G8341,9
G8342,1
G8441,4
G9,2
G9 PRO,2
G90,2
G90 PRO,2
G91,3
G91 Max,2
G91 Pro,2
G91S,3
GEM-702L,1
GEN LITE,1
GI-626,1
GM 5 Plus,2
GM 5 Plus d,3
GM 9 Pro,1
GM 9 Pro d,1
GM1900,3
GM1901,2
GM1903,3
GM1910,3
GM1911,1
GM1913,6
GM1915,18
GM1917,13
GM1920,7
GM1925,1
GN2200,93
GN5001S,2
GN5005,2
GN8001,2
GN8002,3
GN8002S,2
GN8003,3
GN9000L,2
GN9006,2
GN9011,2
GN9012,2
GO452,2
GO503,2
GO504,2
GPad G3,2
GRA-L09,3
GRA-UL10,2
GRACE,2
GRAND 5.5 HD,2
GS290,2
GS55-6,2
GS80,2
GT-I8552,2
GT-I9070,2
GT-I9295,2
GT-I9300,2
GT-I9500,2
GT-I9502,3
GT-I9505,5
GT-I9506,2
GT-I9507,2
GT-I9508V,2
GT-I9515,3
GT-P1000,4
GT-i9508,2
GT20,1
Galaxy J7 SM-J710FN,2
Go,2
Gpad G5,1
Grand,2
Grand Energy,2
Grand X Max+,2
Gravity 6P,3
Gravity X55L,2
Griffe T9,2
H1,2
H1611,2
H1A1000,1
H3113,7
H3123,2
H3213,1
H324,2
H3311,2
H3321,1
H340n,3
H343,1
H422,2
H4233,1
H440n,2
H443,1
H500,2
H502,2
H525,2
H525n,2
H540,2
H542,2
H60-L01,2
H60-L04,2
H630D,1
H631,2
H634,2
H635,2
H650,2
H700,3
H735,2
H736,1
H740,3
H8,1
H810,4
H811,2
H812,2
H815,3
H8166,1
H818,3
H820,2
H8216,9
H8266,1
H830,2
H831,2
H8314,2
H8324,1
H840,1
H8416,5
H850,4
H870,4
H870DS,1
H871,2
H872,7
H873,2
H9,2
H900,2
H918,6
H930,3
H931,4
H932,6
H955,2
H960,2
HAMMER ENERGY,2
HD1900,6
HD1901,3
HD1903,8
HD1905,5
HD1907,15
HD1913,9
HD1925,6
HDT-7427G,2
HERO 3,2
HERO1,2
HLK-AL00,1
HM-G552-FL,2
HM-N700-FL,2
HMA-AL00,1
HMA-L09,2
HMA-L29,3
HOMTOM HT16,2
HPP-GS1,12
HPP-L55B,34
HRY-AL00A,1
HRY-LX1,24
HRY-LX1MEB,2
HRY-LX1T,28
HT20,2
HT37,2
HTC6435LVW,2
HTCD160LVWPP,2
HTCD200LVWPP,2
HTL22,2
HWI-AL00,1
Halo X,2
Hard Rock,1
Hero 7,2
HiPad X,1
Hit,3
Hollogram HL6575,2
Hot 4 Pro,2
I001DC,2
I001DE,1
I003D,2
I004D,2
I005DA,2
I2011,2
I3113,7
I3312,18
I4113,1
I4312,2
I7D,2
I908,2
IM-100S,2
IM-A860K,2
IM-A880S,3
IM-A890L,2
IM-A890S,2
IM-A900K,2
IM-A900S,2
IM-A910K,2
IM-A910s,2
IN2010,2
IN2011,1
IN2013,5
IN2015,4
IN2017,20
IN2019,9
IN2020,60
IN2021,1
IN2023,6
IN2025,2
INE-AL00,2
INE-LX1,3
INE-LX1r,2
INE-LX2,2
IQ Z,3
IRO A4Q,1
IRO A5 Q,1
IRO A5QL,2
IV2201,4
Ilium L610,2
Ilium L910,2
Ilium LT510,2
Ilium X220,1
Ilium X260,2
Ilium X510,2
Ilium X710,2
Infinity 8s,2
Infinity E30,2
Infinity H12,1
Infinity H50 Lite,1
Infinix S2,2
Infinix X6816,2
Infinix X6816C,1
Iris,2
Iris 41,2
Iris 88,1
Iris X8,3
J3173,1
J5,2
J701F,4
J701M,1
J8110,12
J8170,1
J8210,9
J9110,1
J9210,1
J9L,10
JAD-LX9,1
JAT-L29,2
JAT-L41,27
JAT-LX1,1
JAT-LX3,1
JAZZ,2
JDN2-W09,1
JDN2-W09HN,1
JEF-AN00,6
JERRY,2
JERRY MAX,2
JKM-Al00B,1
JKM-LX1,4
JKM-LX2,1
JKM-LX3,2
JKM-TL00,1
JMM-AL00,2
JMM-L22,2
JNY-LX1,9
JNY-LX2,1
JSN-AL00A,1
JSN-AL00a,4
JSN-L21,12
JSN-L22,6
JSN-L23,2
JSN-L42,1
Jazz,1
Jelly2,2
Joy,1
Joy 1,1
K-200,14
K-KOOL,1
K10,2
K10 (2018),1
K100,2
K105,1
K10a40,2
K10e70,2
K118,4
K12 Note,1
K15 Plus,3
K210,2
K3,2
K32c36,2
K33 a48,3
K330,3
K33a42,4
K33b36,3
K350,2
K371,4
K373,2
K4000 Plus,2
K420,2
K425,2
K450,2
K50-t3s,2
K50-t5,2
K500,3
K500n,2
K50a40,2
K51C78,3
K520,2
K530,3
K535,2
K53a48,3
K53b36,3
K540,2
K557,1
K580,2
K6000 Plus,2
K7,2
K7 Pro,2
K8 Note,2
K80M,2
K87CA,3
K87CC,3
K88,4
K9,3
K910L,2
K92,1
KA7,2
KA7O,2
KAAN N1,2
KAZ-N20,4
KB2001,2
KB2003,6
KB2005,6
KB2007,21
KB2J,1
KB501KL,1
KB7,2
KB7j,2
KB8,2
KC2,1
KC3,1
KC6,3
KC8,15
KD6,4
KD6a,2
KD7,12
KD7h,4
KE5,11
KE5j,1
KE5k,3
KE7,1
KF6i,2
KF6m,1
KF6n,1
KF6p,2
KF7j,19
KF8,1
KFAUWI,1
KFKAWI,6
KFMAWI,36
KFMUWI,6
KFONWI,22
KFTRWI,8
KG5j,6
KG5k,5
KG5p,3
KG6,6
KG7,1
KG7h,6
KG7n,1
KH6,5
KII-L05,2
KII-L21,3
KINGKONG 7,2
KIW-AL10,2
KIW-L21,3
KIW-L22,2
KIW-L24,1
KIW-TL00,3
KIW-TL00H,3
KNT-AL10,2
KOB-L09,2
KOB-W09,2
KSA-LX9,16
KSFUWI,1
KYL22,2
KYV38,2
Kylin 5.0,1
L-EMENT 403,2
L1-A,2
L10,2
L158VL,2
L18021,1
L19041,1
L19111,1
L22,2
L322DL,37
L36h,2
L38041,1
L38111,1
L39C/V100,3
L39h,2
L39t,2
L39u,2
L423DL,3
L43AL,1
L50,1
L5002P,1
L5006C,1
L501,1
L50t,2
L52,2
L54,2
L55t,2
L57BL,2
L590A,2
L6002P,1
L6006,1
L6501,1
L6502,2
L675,2
L722DL,42
L79031,4
L8 Lite,2
L84VL,3
L860,2
LA7,3
LAI Zumbo S,2
LAI_Zumbo_J_2017,1
LB6,2
LB7,3
LB8,4
LB8a,4
LC6,3
LC7,4
LC8,3
LD7,6
LDN-L01,4
LDN-L21,3
LDN-LX2,2
LDN-LX3,1
LE2100,2
LE2101,1
LE2111,3
LE2113,2
LE2115,9
LE2117,34
LE2121,3
LE2123,8
LE2125,4
LE2127,7
LE6,5
LE7,3
LE7n,1
LENNY3,2
LENNY3 MAX,2
LEX626,2
LEX720,1
LEX727,2
LG-F490L,2
LG-F600L,1
LG-F650K,2
LG-H850,1
LG-K220,2
LG-K240,2
LG-K600,2
LG-LS997,1
LG-LS998,3
LG-M150,5
LG-M151,2
LG-M160,2
LG-M200,4
LG-M250,3
LG-M322,1
LG-M700,1
LG-M703,1
LG-US996,1
LGE-NX9,2
LGL164VL,1
LGL355DL,25
LGL455DL,26
LGL555DL,14
LGL82VL,2
LGLS450,2
LGLS676,2
LGLS755,4
LGLS775,3
LGLS992,2
LGM-G600L,2
LGM-M700,1
LGM-V300K,1
LGMS428,4
LGMS550,1
LGUS375,1
LGUS610,2
LIO-AL00,1
LIO-AN00,2
LIO-AN00m,2
LIO-L29,2
LK460,2
LLD-AL00,1
LLD-AL10,1
LLD-AL20,1
LLD-L21,2
LLD-L31,9
LM-F100,10
LM-F100N,1
LM-G710,17
LM-G710N,2
LM-G710VM,22
LM-G810,3
LM-G820,3
LM-G820V,42
LM-G850,7
LM-G900,53
LM-G900TM,17
LM-G910,1
LM-K300,46
LM-K400,7
LM-K410,2
LM-K420,5
LM-K500,111
LM-K510,3
LM-K520,3
LM-K525,4
LM-K920,42
LM-Q610.FGN,1
LM-Q620,5
LM-Q630,4
LM-Q710(FGN),2
LM-Q710.FG,6
LM-Q710.FGN,2
LM-Q720,73
LM-Q730,267
LM-T600,12
LM-V350,9
LM-V405,22
LM-V409N,1
LM-V450,8
LM-V500N,4
LM-V600,43
